participant_id,session_id,event_category,count
participant-mq70m2z5-437293,participant-mq70m2z5-437293,party,1012
participant-mq70m2z5-437293,participant-mq70m2z5-437293,build_edit,818
participant-mq70m2z5-437293,participant-mq70m2z5-437293,navigation,387
participant-mq70m2z5-437293,participant-mq70m2z5-437293,build_lifecycle,178
participant-mq70m2z5-437293,participant-mq70m2z5-437293,process,77
participant-mq70m2z5-437293,participant-mq70m2z5-437293,friction,31
participant-mq70m2z5-437293,participant-mq70m2z5-437293,evaluation,20
participant-mq70m2z5-437293,participant-mq70m2z5-437293,study,5
participant-mq70m2z5-437293,participant-mq70m2z5-437293,system,1
participant-mq70m2z5-437293,participant-mq70m2z5-437293,task,1
participant-mq748vre-54ccf6,participant-mq748vre-54ccf6,heatmap,5703
participant-mq748vre-54ccf6,participant-mq748vre-54ccf6,visualization,2921
participant-mq748vre-54ccf6,participant-mq748vre-54ccf6,party,1072
participant-mq748vre-54ccf6,participant-mq748vre-54ccf6,build_edit,948
participant-mq748vre-54ccf6,participant-mq748vre-54ccf6,navigation,398
participant-mq748vre-54ccf6,participant-mq748vre-54ccf6,build_lifecycle,142
participant-mq748vre-54ccf6,participant-mq748vre-54ccf6,friction,31
participant-mq748vre-54ccf6,participant-mq748vre-54ccf6,process,17
participant-mq748vre-54ccf6,participant-mq748vre-54ccf6,study,5
participant-mq748vre-54ccf6,participant-mq748vre-54ccf6,system,1
participant-mq748vre-54ccf6,participant-mq748vre-54ccf6,task,1
participant-mq74r16t-8b9959,participant-mq74r16t-8b9959,heatmap,6153
participant-mq74r16t-8b9959,participant-mq74r16t-8b9959,visualization,3974
participant-mq74r16t-8b9959,participant-mq74r16t-8b9959,party,1349
participant-mq74r16t-8b9959,participant-mq74r16t-8b9959,build_edit,1051
participant-mq74r16t-8b9959,participant-mq74r16t-8b9959,navigation,420
participant-mq74r16t-8b9959,participant-mq74r16t-8b9959,process,143
participant-mq74r16t-8b9959,participant-mq74r16t-8b9959,build_lifecycle,101
participant-mq74r16t-8b9959,participant-mq74r16t-8b9959,friction,24
participant-mq74r16t-8b9959,participant-mq74r16t-8b9959,study,5
participant-mq74r16t-8b9959,participant-mq74r16t-8b9959,system,1
participant-mq74r16t-8b9959,participant-mq74r16t-8b9959,task,1
participant-mq86r5q8-62d0e9,participant-mq86r5q8-62d0e9,heatmap,4277
participant-mq86r5q8-62d0e9,participant-mq86r5q8-62d0e9,party,1369
participant-mq86r5q8-62d0e9,participant-mq86r5q8-62d0e9,visualization,1221
participant-mq86r5q8-62d0e9,participant-mq86r5q8-62d0e9,build_edit,1119
participant-mq86r5q8-62d0e9,participant-mq86r5q8-62d0e9,navigation,432
participant-mq86r5q8-62d0e9,participant-mq86r5q8-62d0e9,build_lifecycle,92
participant-mq86r5q8-62d0e9,participant-mq86r5q8-62d0e9,process,78
participant-mq86r5q8-62d0e9,participant-mq86r5q8-62d0e9,friction,55
participant-mq86r5q8-62d0e9,participant-mq86r5q8-62d0e9,evaluation,12
participant-mq86r5q8-62d0e9,participant-mq86r5q8-62d0e9,study,5
participant-mq86r5q8-62d0e9,participant-mq86r5q8-62d0e9,system,1
participant-mq86r5q8-62d0e9,participant-mq86r5q8-62d0e9,task,1
participant-mq89l4pr-50d828,participant-mq89l4pr-50d828,heatmap,4275
participant-mq89l4pr-50d828,participant-mq89l4pr-50d828,visualization,1737
participant-mq89l4pr-50d828,participant-mq89l4pr-50d828,party,970
participant-mq89l4pr-50d828,participant-mq89l4pr-50d828,build_edit,796
participant-mq89l4pr-50d828,participant-mq89l4pr-50d828,navigation,349
participant-mq89l4pr-50d828,participant-mq89l4pr-50d828,build_lifecycle,92
participant-mq89l4pr-50d828,participant-mq89l4pr-50d828,friction,84
participant-mq89l4pr-50d828,participant-mq89l4pr-50d828,process,83
participant-mq89l4pr-50d828,participant-mq89l4pr-50d828,evaluation,8
participant-mq89l4pr-50d828,participant-mq89l4pr-50d828,study,5
participant-mq89l4pr-50d828,participant-mq89l4pr-50d828,system,1
participant-mq89l4pr-50d828,participant-mq89l4pr-50d828,task,1
participant-mq9rrhhc-33dea0,participant-mq9rrhhc-33dea0,heatmap,4589
participant-mq9rrhhc-33dea0,participant-mq9rrhhc-33dea0,party,1682
participant-mq9rrhhc-33dea0,participant-mq9rrhhc-33dea0,build_edit,1296
participant-mq9rrhhc-33dea0,participant-mq9rrhhc-33dea0,visualization,948
participant-mq9rrhhc-33dea0,participant-mq9rrhhc-33dea0,navigation,545
participant-mq9rrhhc-33dea0,participant-mq9rrhhc-33dea0,build_lifecycle,102
participant-mq9rrhhc-33dea0,participant-mq9rrhhc-33dea0,process,54
participant-mq9rrhhc-33dea0,participant-mq9rrhhc-33dea0,friction,28
participant-mq9rrhhc-33dea0,participant-mq9rrhhc-33dea0,study,5
participant-mq9rrhhc-33dea0,participant-mq9rrhhc-33dea0,system,1
participant-mq9rrhhc-33dea0,participant-mq9rrhhc-33dea0,task,1
participant-mqb4fag6-6ad1d5,participant-mqb4fag6-6ad1d5,heatmap,11778
participant-mqb4fag6-6ad1d5,participant-mqb4fag6-6ad1d5,visualization,5332
participant-mqb4fag6-6ad1d5,participant-mqb4fag6-6ad1d5,party,2493
participant-mqb4fag6-6ad1d5,participant-mqb4fag6-6ad1d5,build_edit,2149
participant-mqb4fag6-6ad1d5,participant-mqb4fag6-6ad1d5,navigation,916
participant-mqb4fag6-6ad1d5,participant-mqb4fag6-6ad1d5,build_lifecycle,753
participant-mqb4fag6-6ad1d5,participant-mqb4fag6-6ad1d5,process,284
participant-mqb4fag6-6ad1d5,participant-mqb4fag6-6ad1d5,friction,97
participant-mqb4fag6-6ad1d5,participant-mqb4fag6-6ad1d5,evaluation,56
participant-mqb4fag6-6ad1d5,participant-mqb4fag6-6ad1d5,study,5
participant-mqb4fag6-6ad1d5,participant-mqb4fag6-6ad1d5,system,1
participant-mqb4fag6-6ad1d5,participant-mqb4fag6-6ad1d5,task,1
participant-mqbpu17e-3a95f6,participant-mqbpu17e-3a95f6,heatmap,4849
participant-mqbpu17e-3a95f6,participant-mqbpu17e-3a95f6,visualization,2593
participant-mqbpu17e-3a95f6,participant-mqbpu17e-3a95f6,party,1578
participant-mqbpu17e-3a95f6,participant-mqbpu17e-3a95f6,build_edit,1370
participant-mqbpu17e-3a95f6,participant-mqbpu17e-3a95f6,navigation,545
participant-mqbpu17e-3a95f6,participant-mqbpu17e-3a95f6,build_lifecycle,103
participant-mqbpu17e-3a95f6,participant-mqbpu17e-3a95f6,process,71
participant-mqbpu17e-3a95f6,participant-mqbpu17e-3a95f6,friction,45
participant-mqbpu17e-3a95f6,participant-mqbpu17e-3a95f6,study,5
participant-mqbpu17e-3a95f6,participant-mqbpu17e-3a95f6,system,1
participant-mqbpu17e-3a95f6,participant-mqbpu17e-3a95f6,task,1
participant-mqbpu8zh-63581d,participant-mqbpu8zh-63581d,heatmap,5421
participant-mqbpu8zh-63581d,participant-mqbpu8zh-63581d,visualization,4080
participant-mqbpu8zh-63581d,participant-mqbpu8zh-63581d,party,1335
participant-mqbpu8zh-63581d,participant-mqbpu8zh-63581d,build_edit,1113
participant-mqbpu8zh-63581d,participant-mqbpu8zh-63581d,navigation,467
participant-mqbpu8zh-63581d,participant-mqbpu8zh-63581d,build_lifecycle,123
participant-mqbpu8zh-63581d,participant-mqbpu8zh-63581d,process,102
participant-mqbpu8zh-63581d,participant-mqbpu8zh-63581d,friction,33
participant-mqbpu8zh-63581d,participant-mqbpu8zh-63581d,study,5
participant-mqbpu8zh-63581d,participant-mqbpu8zh-63581d,evaluation,4
participant-mqbpu8zh-63581d,participant-mqbpu8zh-63581d,system,1
participant-mqbpu8zh-63581d,participant-mqbpu8zh-63581d,task,1
participant-mqbro0lo-88d5a7,participant-mqbro0lo-88d5a7,heatmap,4913
participant-mqbro0lo-88d5a7,participant-mqbro0lo-88d5a7,visualization,3866
participant-mqbro0lo-88d5a7,participant-mqbro0lo-88d5a7,party,1288
participant-mqbro0lo-88d5a7,participant-mqbro0lo-88d5a7,build_edit,1077
participant-mqbro0lo-88d5a7,participant-mqbro0lo-88d5a7,navigation,461
participant-mqbro0lo-88d5a7,participant-mqbro0lo-88d5a7,build_lifecycle,218
participant-mqbro0lo-88d5a7,participant-mqbro0lo-88d5a7,process,74
participant-mqbro0lo-88d5a7,participant-mqbro0lo-88d5a7,friction,28
participant-mqbro0lo-88d5a7,participant-mqbro0lo-88d5a7,study,5
participant-mqbro0lo-88d5a7,participant-mqbro0lo-88d5a7,system,1
participant-mqbro0lo-88d5a7,participant-mqbro0lo-88d5a7,task,1
participant-mqbsmuwn-832271,participant-mqbsmuwn-832271,heatmap,2578
participant-mqbsmuwn-832271,participant-mqbsmuwn-832271,party,1068
participant-mqbsmuwn-832271,participant-mqbsmuwn-832271,build_edit,859
participant-mqbsmuwn-832271,participant-mqbsmuwn-832271,visualization,607
participant-mqbsmuwn-832271,participant-mqbsmuwn-832271,navigation,371
participant-mqbsmuwn-832271,participant-mqbsmuwn-832271,process,318
participant-mqbsmuwn-832271,participant-mqbsmuwn-832271,build_lifecycle,98
participant-mqbsmuwn-832271,participant-mqbsmuwn-832271,friction,29
participant-mqbsmuwn-832271,participant-mqbsmuwn-832271,study,5
